大專校院各校科系別概況										
105 學年度 SY2016-2017										
學校代碼	學校名稱	科系代碼	科系名稱	日間∕進修別	等級別	學生數	教師數	上學年度畢業生數	縣市名稱	體系別
0001	國立政治大學	140101	教育學系	D 日	B 學士	258	17	47	30 臺北市	1 一般
0001	國立政治大學	220201	(中)國(語)文學系	D 日	M 碩士	87	0	29	30 臺北市	1 一般
0001	國立政治大學	220201	(中)國(語)文學系	D 日	B 學士	372	29	75	30 臺北市	1 一般
0001	國立政治大學	220307	英國語文學系	D 日	B 學士	309	24	66	30 臺北市	1 一般
0001	國立政治大學	220320	日本語文學系	D 日	B 學士	180	12	40	30 臺北市	1 一般
0001	國立政治大學	220322	阿拉伯語文學系	D 日	B 學士	174	7	33	30 臺北市	1 一般
0001	國立政治大學	220324	韓國語文學系	D 日	B 學士	161	8	37	30 臺北市	1 一般
0001	國立政治大學	220326	土耳其語文學系	D 日	B 學士	128	6	26	30 臺北市	1 一般
0001	國立政治大學	220327	歐洲語文學系	D 日	B 學士	314	8	59	30 臺北市	1 一般
0001	國立政治大學	220333	斯拉夫語文學系	D 日	B 學士	248	18	37	30 臺北市	1 一般
0001	國立政治大學	220901	(歷)史學系	D 日	B 學士	189	18	46	30 臺北市	1 一般
0001	國立政治大學	221101	哲學系	D 日	B 學士	194	14	36	30 臺北市	1 一般
0001	國立政治大學	310101	經濟學系	D 日	M 碩士	85	0	32	30 臺北市	1 一般
0001	國立政治大學	310101	經濟學系	D 日	B 學士	423	22	105	30 臺北市	1 一般
0001	國立政治大學	310201	政治學系	D 日	B 學士	209	15	41	30 臺北市	1 一般
0001	國立政治大學	310207	國家安全與大陸研究碩士	N 職	M 碩士	59	0	24	30 臺北市	1 一般
0001	國立政治大學	310301	社會學系	D 日	B 學士	203	13	47	30 臺北市	1 一般
0001	國立政治大學	310401	民族(文化)學系	D 日	B 學士	176	9	26	30 臺北市	1 一般
0001	國立政治大學	310501	(應用)心理學系	D 日	B 學士	222	17	57	30 臺北市	1 一般
0001	國立政治大學	310728	亞太研究英語學位學程	D 日	M 碩士	80	0	30	30 臺北市	1 一般
0001	國立政治大學	310801	公共行政學系	D 日	M 碩士	118	0	27	30 臺北市	1 一般
0001	國立政治大學	310801	公共行政學系	D 日	B 學士	207	13	41	30 臺北市	1 一般
0001	國立政治大學	310804	行政管理(暨政策)學系	N 職	M 碩士	250	0	55	30 臺北市	1 一般
0001	國立政治大學	310811	地政學系	D 日	M 碩士	83	0	25	30 臺北市	1 一般
0001	國立政治大學	310811	地政學系	D 日	B 學士	523	22	124	30 臺北市	1 一般
0001	國立政治大學	310905	外交學系	D 日	M 碩士	66	0	21	30 臺北市	1 一般
0001	國立政治大學	310905	外交學系	D 日	B 學士	276	12	65	30 臺北市	1 一般
0001	國立政治大學	320102	傳播學系	D 日	B 學士	38	0	23	30 臺北市	1 一般
0001	國立政治大學	320201	新聞學系	D 日	M 碩士	16	0	28	30 臺北市	1 一般
0001	國立政治大學	320201	新聞學系	D 日	B 學士	180	13	86	30 臺北市	1 一般
0001	國立政治大學	320301	廣播電視(電影)學系	D 日	B 學士	147	9	48	30 臺北市	1 一般
0001	國立政治大學	320802	廣告學系	D 日	B 學士	168	9	56	30 臺北市	1 一般
0001	國立政治大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	M 碩士	141	0	63	30 臺北市	1 一般
0001	國立政治大學	340201	會計(與)(資訊)(科技)(系統)學系	D 日	B 學士	449	21	104	30 臺北市	1 一般
0001	國立政治大學	340301	企業管理學系	D 日	M 碩士	269	0	105	30 臺北市	1 一般
0001	國立政治大學	340301	企業管理學系	D 日	B 學士	448	24	98	30 臺北市	1 一般
0001	國立政治大學	340303	經營(與)管理(技術)學系	N 職	M 碩士	577	0	149	30 臺北市	1 一般
0001	國立政治大學	340310	國際(經營)(專業)管理學位學程(含IMBA)	D 日	M 碩士	142	2	51	30 臺北市	1 一般
0001	國立政治大學	340408	國際經營與貿易學系	D 日	M 碩士	111	0	45	30 臺北市	1 一般
