OID	Arrival	Duration	TimeOut
248	1144	426	1805
192	112	267	510
102	1103	218	1582
115	951	590	1838
289	1912	115	2281
185	850	188	1058
114	546	554	1346
226	918	109	1111
282	1417	121	1625
195	765	102	1036
245	72	369	566
294	543	593	1358
199	646	241	1095
103	20	349	507
120	1541	159	1714
264	931	278	1405
123	526	426	1140
297	1135	416	1826
231	384	313	730
146	1266	191	1747
140	428	452	1130
252	1540	525	2222
183	432	528	990
207	1124	525	1711
251	893	241	1300
257	1891	443	2410
221	1052	90	1418
211	1298	389	1926
106	1447	515	2194
117	280	423	849
210	914	197	1339
138	782	239	1068
173	1978	510	2545
166	1673	508	2183
145	1432	190	1645
273	348	170	800
281	1582	386	1988
150	618	573	1359
193	252	167	612
265	304	314	754
165	862	365	1347
157	1420	81	1754
128	1775	594	2421
206	316	252	836
272	1881	580	2633
285	1377	319	1818
267	712	344	1072
256	887	305	1392
155	684	254	1118
135	50	305	367
209	1462	99	1822
235	660	28	968
218	476	422	1111
254	1088	468	1786
176	1097	77	1374
152	1192	182	1496
200	1070	553	1734
280	1202	459	1922
241	1500	365	2049
228	1864	109	1986
170	1042	536	1713
162	1956	317	2347
227	135	229	586
286	1912	592	2765
181	1824	588	2609
105	186	130	540
129	673	63	824
144	1499	126	1894
172	1830	591	2551
118	284	560	968
113	1624	73	1881
158	151	57	505
253	978	526	1709
101	797	550	1535
197	644	19	745
295	1478	412	1972
255	222	579	1050
214	477	600	1085
216	397	85	490
160	856	498	1425
287	1095	199	1566
202	1873	516	2434
242	1854	236	2336
156	602	370	1232
261	345	90	526
116	1349	202	1811
279	623	175	942
167	946	135	1303
274	1664	566	2320
240	877	478	1507
126	1537	580	2130
222	1599	344	1998
277	779	535	1367
260	1227	9	1508
205	107	241	533
234	1822	14	2077
159	1086	46	1170
186	1633	201	2058
230	216	84	593
215	1182	240	1458
217	666	600	1404
244	389	301	811
163	943	256	1329
283	254	364	679
250	1697	523	2407
268	657	47	863
110	1476	558	2116
148	952	507	1693
275	1626	9	1906
177	1094	326	1573
299	1315	233	1633
169	1972	531	2553
107	377	154	731
271	739	366	1278
133	58	322	536
109	900	399	1517
104	1562	202	2011
201	1226	532	1822
269	1455	449	1943
137	747	581	1498
161	759	288	1300
147	343	382	728
292	930	565	1663
194	382	318	824
233	1677	579	2342
196	580	319	990
174	257	577	873
247	596	278	914
224	1129	322	1713
130	367	170	580
188	151	416	849
119	1093	577	1797
112	1214	201	1665
208	960	107	1202
153	1291	240	1828
219	1688	268	2177
198	625	401	1039
171	396	444	868
212	92	400	775
288	1130	220	1605
143	296	205	537
121	1477	207	1826
290	721	55	973
108	1056	143	1384
258	1729	350	2172
276	469	289	888
293	1341	597	2013
136	334	178	620
232	940	453	1613
225	1598	217	1956
270	1810	45	2129
189	1085	347	1568
124	1606	127	1974
125	1793	347	2183
191	867	268	1160
296	566	342	1007
122	1564	300	1869
243	744	340	1332
266	1138	543	1720
168	201	537	779
190	1169	307	1486
164	1633	528	2343
132	836	330	1217
237	545	179	958
204	1188	256	1462
239	1048	93	1219
178	142	31	473
262	323	456	1020
203	359	489	880
236	141	30	441
278	374	482	1037
175	272	384	948
141	1727	258	2056
229	180	377	634
291	1896	202	2298
187	514	66	597
179	934	21	1043
298	1883	220	2114
111	1017	217	1340
184	1188	220	1527
180	914	323	1370
139	1094	280	1588
284	281	293	676
223	384	522	1166
213	1738	5	1773
182	348	48	410
220	392	108	621
149	1807	463	2352
249	917	397	1458
246	1281	406	1938
127	972	344	1611
263	307	96	657
100	500	164	872
151	799	374	1374
131	1403	127	1659
142	1062	240	1415
134	1959	481	2536
259	1656	9	1806
238	1987	151	2258
154	995	357	1611
