	[Abort List]
	OID	Delay	Abort
[1]	204	0	173
[2]	240	0	217
[3]	201	0	222
[4]	104	0	229
[5]	255	0	249
[6]	257	0	284
[7]	222	0	326
[8]	223	0	359
[9]	175	0	374
[10]	275	0	390
[11]	220	0	467
[12]	100	0	507
[13]	263	0	530
[14]	286	0	551
[15]	205	0	564
[16]	178	0	585
[17]	218	0	595
[18]	254	0	642
[19]	268	0	650
[20]	141	0	694
[21]	216	0	724
[22]	107	0	734
[23]	167	0	758
[24]	245	0	791
[25]	118	0	795
[26]	280	708	849
[27]	298	0	905
[28]	276	0	912
[29]	243	0	917
[30]	165	0	937
[31]	199	0	939
[32]	227	0	960
[33]	181	0	964
[34]	194	0	1032
[35]	292	0	1073
[36]	246	0	1147
[37]	148	0	1162
[38]	121	0	1184
[39]	233	0	1197
[40]	288	0	1218
[41]	128	0	1227
[42]	180	0	1249
[43]	237	655	1292
[44]	228	435	1292
[45]	296	0	1398
[46]	262	0	1435
[47]	156	0	1442
[48]	207	0	1462
[49]	186	0	1465
[50]	278	0	1478
[51]	281	0	1483
[52]	270	0	1524
[53]	282	0	1613
[54]	192	0	1636
[55]	290	0	1642
[56]	279	0	1643
[57]	267	0	1661
[58]	146	0	1675
[59]	209	0	1684
[60]	215	0	1701
[61]	242	0	1708
[62]	149	0	1717
[63]	231	0	1721
[64]	294	0	1727
[65]	217	0	1737
[66]	273	422	1741
[67]	214	386	1741
[68]	134	363	1741
[69]	111	0	1810
[70]	221	0	1821
[71]	139	0	1841
[72]	169	0	1841
[73]	160	0	1844
[74]	103	0	1870
[75]	202	0	1897
[76]	239	0	1908
[77]	142	0	1924
[78]	241	0	1942
[79]	137	0	1943
[80]	247	0	1970
[81]	284	0	1983
[82]	236	610	2410
	[Timeout List]
	OID	Delay	Departure
[1]	258	351	629
[2]	145	528	849
[3]	224	420	1292
[4]	274	395	1741
[5]	159	319	2179
[6]	203	394	2410
[Total Delay]
5986 min.
[Failure Percentage]
96.70 %
