OID	Arrival	Duration	TimeOut
181	11	582	378
270	14	536	141
290	27	79	202
116	36	330	239
254	36	302	61
127	58	175	378
153	69	12	344
278	78	522	202
121	112	138	290
165	118	225	345
123	131	316	582
272	133	569	182
191	147	33	396
100	161	11	531
198	161	246	445
148	192	101	519
101	194	450	404
107	208	305	549
265	209	254	755
103	210	590	557
141	229	295	692
195	244	453	741
287	246	353	628
294	247	290	284
133	255	481	525
236	264	354	809
250	265	471	656
188	272	548	484
185	290	235	532
166	295	509	807
219	298	346	624
234	316	424	583
205	321	430	739
162	348	81	369
120	356	430	528
179	361	200	555
128	368	526	413
276	401	374	504
273	402	500	431
131	405	152	554
159	405	177	800
194	406	146	931
257	430	297	835
169	437	278	942
255	447	599	569
175	450	1	947
164	456	521	812
233	457	484	579
293	487	66	549
134	507	35	782
210	509	459	782
243	511	241	1012
190	531	324	670
178	534	487	1036
140	538	207	573
283	560	130	645
129	575	181	1140
196	580	568	1179
279	595	175	737
171	596	442	770
221	608	254	1141
203	611	369	1163
268	626	83	730
208	659	473	1123
212	672	550	1064
136	690	214	853
271	710	214	1164
137	716	546	1290
217	721	284	1000
126	723	9	939
105	729	273	1134
145	740	110	1015
226	761	596	1085
251	770	485	777
173	777	258	1255
274	777	353	1317
282	779	173	955
142	793	142	1108
197	814	257	862
291	836	549	1094
108	838	538	962
235	839	256	1415
264	856	573	1104
170	862	416	879
186	867	167	1185
269	875	268	989
216	878	338	1231
252	880	539	1063
110	883	216	1364
189	883	46	977
295	886	46	1106
168	890	440	1176
138	899	106	1275
277	899	119	993
249	909	189	1224
262	910	331	1247
244	925	305	1252
261	926	207	1156
177	939	196	1083
214	942	522	1112
213	946	301	1445
135	972	289	1219
241	976	414	1484
147	986	600	1297
104	994	395	1449
298	1010	537	1280
239	1011	150	1603
114	1028	430	1067
280	1030	564	1586
202	1031	108	1371
296	1035	449	1452
299	1040	206	1469
285	1043	476	1297
258	1049	306	1524
230	1071	32	1216
157	1091	228	1139
240	1091	209	1232
180	1092	46	1345
248	1114	63	1573
102	1115	263	1323
139	1140	552	1613
182	1143	450	1506
281	1147	267	1223
122	1149	56	1458
109	1175	443	1271
160	1175	501	1738
155	1187	233	1765
156	1199	550	1355
201	1199	94	1566
154	1211	485	1579
204	1216	505	1712
242	1221	125	1789
263	1229	376	1775
292	1236	584	1665
115	1242	508	1766
223	1246	502	1495
259	1278	231	1831
209	1301	357	1338
111	1303	480	1764
172	1318	121	1407
161	1321	194	1421
146	1331	166	1865
245	1334	178	1853
192	1342	336	1527
284	1344	324	1491
286	1360	569	1909
113	1361	447	1564
144	1365	85	1741
132	1381	350	1861
238	1402	222	1936
232	1419	200	1984
119	1427	119	1736
224	1435	18	1768
215	1447	268	1957
225	1453	275	1535
247	1463	162	1541
130	1468	504	1765
176	1490	88	1936
118	1493	31	1796
200	1506	247	1684
152	1517	284	1722
193	1517	283	1633
218	1557	269	1842
266	1591	302	1633
288	1601	508	1706
227	1604	135	1892
222	1646	506	2210
256	1658	368	2039
237	1662	203	2016
150	1664	440	2046
231	1671	189	1861
260	1671	311	2057
297	1683	381	2211
275	1684	30	2129
151	1703	345	2139
229	1727	311	1746
124	1737	145	2067
289	1748	185	2223
207	1757	513	2356
184	1761	545	2198
149	1781	2	2130
253	1783	443	1946
246	1789	319	2309
199	1796	388	1876
220	1813	545	1823
117	1817	422	2295
158	1825	265	2054
106	1847	499	2087
143	1864	519	2324
174	1894	147	2412
183	1897	58	2354
187	1907	177	2331
228	1913	305	2380
112	1917	386	2176
167	1917	353	2309
206	1925	452	2025
163	1959	594	2246
125	1972	228	2322
211	1997	42	2173
267	1998	136	2276
