	[Abort List]
	OID	CID	Delay	Abort
[1]	107	0	0	208
[2]	265	0	0	209
[3]	141	0	0	229
[4]	287	0	0	246
[5]	185	0	0	290
[6]	166	0	0	295
[7]	159	0	0	405
[8]	194	0	0	406
[9]	257	0	0	430
[10]	169	0	0	437
[11]	175	0	0	450
[12]	191	1	334	481
[13]	198	1	320	481
[14]	100	2	388	549
[15]	148	2	357	549
[16]	203	0	0	611
[17]	268	0	0	626
[18]	271	0	0	710
[19]	137	0	0	716
[20]	126	0	0	723
[21]	105	0	0	729
[22]	145	0	0	740
[23]	173	0	0	777
[24]	274	0	0	777
[25]	282	0	0	779
[26]	142	0	0	793
[27]	134	1	328	835
[28]	216	0	0	878
[29]	110	0	0	883
[30]	189	0	0	883
[31]	295	0	0	886
[32]	138	0	0	899
[33]	249	0	0	909
[34]	262	0	0	910
[35]	244	0	0	925
[36]	261	0	0	926
[37]	213	0	0	946
[38]	241	0	0	976
[39]	104	0	0	994
[40]	202	0	0	1031
[41]	299	0	0	1040
[42]	258	0	0	1049
[43]	230	0	0	1071
[44]	178	1	542	1076
[45]	122	0	0	1149
[46]	160	0	0	1175
[47]	196	2	603	1183
[48]	221	2	575	1183
[49]	263	0	0	1229
[50]	115	0	0	1242
[51]	259	0	0	1278
[52]	146	0	0	1331
[53]	186	1	465	1332
[54]	232	0	0	1419
[55]	119	0	0	1427
[56]	224	0	0	1435
[57]	176	0	0	1490
[58]	118	0	0	1493
[59]	218	0	0	1557
[60]	201	2	367	1566
[61]	237	0	0	1662
[62]	231	0	0	1671
[63]	260	0	0	1671
[64]	297	0	0	1683
[65]	275	0	0	1684
[66]	289	0	0	1748
[67]	207	0	0	1757
[68]	149	0	0	1781
[69]	246	0	0	1789
[70]	117	0	0	1817
[71]	174	0	0	1894
[72]	183	0	0	1897
[73]	187	0	0	1907
[74]	227	2	309	1913
[75]	125	0	0	1972
[76]	211	0	0	1997
[77]	267	0	0	1998
[78]	215	1	607	2054
[79]	151	2	578	2281
[80]	124	1	823	2560
[81]	167	2	669	2586
	[Timeout List]
	OID	CID	Delay	Departure
[1]	165	1	138	481
[2]	236	1	217	835
[3]	195	2	305	1002
[4]	243	1	324	1076
[5]	129	2	427	1183
[6]	180	1	240	1378
[7]	132	1	323	2054
[8]	256	2	255	2281
[9]	222	1	408	2560
[10]	228	2	368	2586
[Total Delay]
10270 min.
[Failure Percentage]
87.50 %
